"SourceKey","TargetKey","SourceCommentId","Author","Created","Error","ErrorDetails","SourceURL","TargetURL"
"POS-557","POS1-35","362019","Pooja Agrawal","12/2/2024 4:21:53 PM","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","https://onemain.atlassian.net/browse/POS-557","https://onemainfinancial-migrationsandbox.atlassian.net/browse/POS1-35"
"POS-557","POS1-35","363160","Pooja Agrawal","12/5/2024 6:30:03 PM","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","https://onemain.atlassian.net/browse/POS-557","https://onemainfinancial-migrationsandbox.atlassian.net/browse/POS1-35"
"POS-560","POS1-32","363161","Pooja Agrawal","12/5/2024 6:34:09 PM","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","https://onemain.atlassian.net/browse/POS-560","https://onemainfinancial-migrationsandbox.atlassian.net/browse/POS1-32"
"POS-561","POS1-30","363162","Pooja Agrawal","12/5/2024 6:34:49 PM","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","https://onemain.atlassian.net/browse/POS-561","https://onemainfinancial-migrationsandbox.atlassian.net/browse/POS1-30"
"POS-563","POS1-28","363163","Pooja Agrawal","12/5/2024 6:35:52 PM","Response status code does not indicate success: 400 (Bad Request).","Bad Request - Invalid data or missing required fields","https://onemain.atlassian.net/browse/POS-563","https://onemainfinancial-migrationsandbox.atlassian.net/browse/POS1-28"
